name,start_time,end_time,report,vmax,vmin,vini,vend,scale,non_physical_inflow,non_physical_inflow_penalty,filt_avg,use_fcf,cond_ovf,vol_ovf,val_ovf,filt_poly,candidate,owner
"Emb_Laguna_del_Maule",2000-01-01-00:00,3000-01-01-00:00,true,1453.41,0,323.15,398.854,6,true,1000000,0,true,true,1453.41,100,0,false,None
"Emb_Laguna_Invernada",2000-01-01-00:00,3000-01-01-00:00,true,174.66,4.72,90.45,32.81,6,true,1000000,14.2,true,true,174.66,100,0,false,None
"Emb_Polcura",2000-01-01-00:00,3000-01-01-00:00,true,1.08,0,1.09,0.837,6,true,1000000,0,true,true,1.08,100,0,false,no en PLP
"Emb_Melado",2000-01-01-00:00,3000-01-01-00:00,true,133.64,106.58,112.05,108.29,6,true,1000000,0,true,true,133.64,100,0,false,None
"Emb_Colbun",2000-01-01-00:00,3000-01-01-00:00,true,1553.25,381.62,1339.13,1237.834,6,true,1000000,6.1,true,true,1553.25,100,0,false,None
"Emb_Pangue",2000-01-01-00:00,3000-01-01-00:00,true,71.96,57.58,69.76,70.639,6,true,1000000,0,true,true,71.96,100,0,false,None
"Emb_Angostura",2000-01-01-00:00,3000-01-01-00:00,true,112.56,105.82,108.74,108.476,6,true,1000000,0,true,true,112.56,100,0,false,no en PLP
"Emb_Ralco",2000-01-01-00:00,3000-01-01-00:00,true,1173.29,409.41,1154.15,1023.83,6,true,1000000,0,true,true,1173.29,100,0,false,None
"Emb_Canutillar",2000-01-01-00:00,3000-01-01-00:00,true,1065.38,449.74,879.38,661.546,6,true,1000000,0,true,true,1065.38,100,0,false,None
"Emb_Rapel",2000-01-01-00:00,3000-01-01-00:00,true,563.21,272.3,492.43,486.571,6,true,1000000,0,true,true,563.21,100,0,false,None
"Emb_Pilmaiquen",2000-01-01-00:00,3000-01-01-00:00,true,289.68,0,231.74,264.85,6,true,1000000,0,true,true,289.68,100,0,false,None
"Emb_Machicura",2000-01-01-00:00,3000-01-01-00:00,true,17.7,10.18,13.22,13.436,6,true,1000000,0,true,true,17.7,100,0,false,no en PLP
"Emb_Laguna_del_Laja",2000-01-01-00:00,3000-01-01-00:00,true,5585.89,0,1334.2,1089.839,6,true,1000000,30.8,true,true,5585.89,5000,0,false,None
